url,title,published_date,source_family,source_domain,discovery_source,content_tier,implementation_lane,series,dg_tags,model_dimensions,summary_bullets,proposed_change,code_touchpoints,verify_with,status,extraction_method,superseded_by,artifacts_note
https://datagolfblogs.ca/a-golf-fans-reflection,A golf fans reflection,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/a-predictive-model-of-tournament-outcomes-on-the-pga-tour,A predictive model of tournament outcomes on the pga tour,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/a-quick-look-at-differences-in-field-quality-on-the-us-and-european-tours,A quick look at differences in field quality on the us and european tours,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/an-intergenerational-approach-to-ranking-pga-tour-players,An intergenerational approach to ranking pga tour players,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/analysis-of-tigers-past-performances-coming-off-long-layoffs,Analysis of tigers past performances coming off long layoffs,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/benchmarking-the-models-betting-performance-through-17-weeks,Benchmarking the models betting performance through 17 weeks,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/brief-summary-of-our-2017-in-golf-betting,Brief summary of our 2017 in golf betting,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/comments/feed,Feed,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/course-history-revisited-course-length-as-an-indicator-of-course-fit,Course history revisited course length as an indicator of course fit,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/data-golf-blogs-2,Data golf blogs 2,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/data-visualizations-2,Data visualizations 2,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/distance-adjusted-driving-accuracy,Distance adjusted driving accuracy,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/does-a-players-course-history-predict-performance/,Is course history predictive?,,A,datagolfblogs.ca,page_sidebar_popular_js,canonical_hub,,legacy_blog,,course_fit,,,src/models/course_fit.py,,pending_read,,,
https://datagolfblogs.ca/dropping-the-anchor,Dropping the anchor,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/first-tee-jitters,First tee jitters,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/hangitupmike,Hangitupmike,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
https://datagolfblogs.ca/how-hard-is-it-to-follow-up-a-great-round-with-a-good-round,How hard is it to follow up a great round with a good round,,A,datagolfblogs.ca,wave_a_old_blogs_directory,directory_listed,,legacy_blog,,,,,,,pending_read,curl_html,,
